Cycle Year-Month,Total Gas (MCF)
2022-04,36542
2022-05,691644
2022-06,672373
2022-07,648410
2022-08,591555
2022-09,551915
2022-10,500213
2022-11,417357
2022-12,391047
2023-01,381394
2023-02,240771
2023-03,325379
2023-04,326187
2023-05,329511
2023-06,308407
2023-07,308357
2023-08,295581
2023-09,291928
2023-10,263299
2023-11,254026
2023-12,250322
2024-01,223761
2024-02,203958
2024-03,210885
2024-04,187497
2024-05,185122
2024-06,170160
2024-07,168508
2024-08,158819
2024-09,144487
2024-10,146306
2024-11,134310
2024-12,140204
2025-01,103717
2025-02,58418
2025-03,127332
2025-04,249551
2025-05,192652
2025-06,151821
2025-07,139669
2025-08,130501
2025-09,116172
2025-10,113085
2025-11,106344
2025-12,105530
2026-01,99465
2026-02,84259
2026-03,94571
2026-04,92673
